Title,Abstract,Journal,Language,Year,Month
Crossed Fused Renal Ectopia With Acute Pyelonephritis: A Case Report.,"Crossed Fused Renal Ectopia (CFRE) is a very rare anomaly of the kidneys with a prevalence of 1 in 1000 live births. In this condition, both kidneys are fused together on one side of the spine. Usually, CFRE is an asymptomatic condition and is mostly detected incidentally, but sometimes the patient may develop various renal signs and symptoms. We report a case of acute pyelonephritis in a crossed fused right renal ectopia which was diagnosed by renal ultrasound and confirmed by computed tomography in a 75-year-old female.",Cureus,eng,2021,11.0
Open partial nephrectomy of a left-to-right crossed fused renal ectopia with clear cell renal cell carcinoma: Case report and review of the literature.,"Crossed fused renal ectopia (CFRE) is a rare congenital renal abnormality. It is usually diagnosed incidentally by imaging. Herein we report a 53-year-old patient with renal cell carcinoma of CFRE. He was successfully treated with an open partial nephrectomy and was discharged without any complications. Furthermore, we review similar cases of CFRE to identify the clinical features and surgical technique.",Urology case reports,eng,2022,3.0
Crossed fused renal ectopia (pancake type) with single ureter: A case report.,"Crossed fused renal ectopia is a rare congenital anomaly of renal embryogenesis. The majority of such anomalous kidneys are supplied by a single renal artery and drained by two separate ureters. However, drainage by a single common ureter is an unusual variant. Here, we present a 17-year old male with a pelvic pancake kidney drained by a single ureter with associated acute obstructive uropathy diagnosed with ultrasonography and computed tomography urography (CTU). We describe the anatomical peculiarity and diagnostic evaluation of the case.",Urology case reports,eng,2021,11.0
Case Report on Crossed Fused Renal Ectopia With a Large Calculus and Its Management.,"Among congenital renal anomalies, the ectopic kidney is a rare occurrence. Crossed fused renal ectopia (CFRE) - an even rarer subtype of ectopic kidney - is characterized by both kidneys being fused together on one side of the spine. CFRE is usually asymptomatic but can present with vague symptoms if the anomalous kidney becomes infected, is obstructed by calculus, or has a neoplastic change. There is no indication for surgical intervention if the kidney functions normally. This report presents a case of CFRE in a 31-year-old male with recurrent right flank pain resulting from a large calculus in the upper moiety of the fused kidney. The calculus was surgically removed by percutaneous nephrolithotomy (PCNL). The patient was discharged on analgesics, antibiotics, and potassium citrate tablets, with an order to follow up after one month. On follow-up, the patient's double-J (DJ) stent was removed and an X-ray was performed to rule out any complications. No signs of stones, strictures, or other complications were noticed.",Cureus,eng,2021,6.0
Retrograde ureteroscopic lithotripsy in cross-fused renal ectopia.,"Cross-fused renal ectopia is a rare congenital malformation, and few cases of urolithiasis have been treated by retrograde ureteroscopic lithotripsy. We report a case of urolithiasis in right-to-left and superior-type cross-fused renal ectopia, successfully treated by the retrograde approach.",IJU case reports,eng,2021,7.0
Endovascular aortic aneurysm repair with reversed chimney graft technique in a patient with crossed fused renal ectopia: a technical note.,Crossed fused renal ectopia is a very rare congenital ectopia and poses great challenges when performing abdominal aortic surgery because of the accompanying abnormal vessels and urinary tracts. A 79-year-old woman with an abdominal aortic aneurysm and L-shaped crossed fused renal ectopia was referred to our facility. One of the large ectopic renal arteries arose from the right common iliac artery. The aneurysm was treated with an endovascular aortic repair. The reversed chimney graft technique was applied to preserve the ectopic renal artery while elongating the distal landing zone on the right side. The patient experienced no complications such as renal dysfunction or recurrence of the abdominal aortic aneurysm during the 6-month follow-up period.,Journal of surgical case reports,eng,2021,6.0
Recurrent formation of haematocolpos in a young girl with multiple congenital anomalies of the urogenital tract.,"An 11-year-old girl, a known case of left crossed fused renal ectopia and sacral hypoplasia presented to the gynaecological OPD in Karachi, Pakistan, in February 2019 with complaints of abdominal pain. On examination, she was found to have a septum covering her vaginal orifice. She was subsequently diagnosed with haematocolpos secondary to imperforate hymen. Incision and drainage was done. However, despite surgical management, she continued to have recurrent formation of haematocolpos for the next two months secondary to multiple complete and partial transverse vaginal septa and post-operative formation of adhesions. Definitive management was done with ultrasound guided needle puncture and drainage, followed by post-operative tampon use to maintain patency.",JPMA. The Journal of the Pakistan Medical Association,eng,2021,3.0
Left-to-right crossed fused renal ectopia with pyelonephritis mimicking appendix mass.,"Crossed fused renal ectopia (CFRE) is an uncommon developmental anomaly of the genitourinary system whereby the two kidneys are located on the same side of the body and joined together, while the ureter of the ectopic kidney still enters the bladder in its normal side. CFRE has variable clinical presentations and usually discovered incidentally when patients are investigated for abdominal complaints. Treatment may be conservative when renal function is preserved with no associated symptomatic urological complications. Highlighted here is the unusual presentation of left-to-right CFRE with acute pyelonephritis as an appendix mass in a 19-year-old female.",Urology annals,eng,2021,
Klippel Feil syndrome with crossed fused renal ectopia with pelviureteric junction obstruction: A rare association.,"An 11-year-old female patient presented with congenital spinal deformity with a history of occasional pain in the right flank for a duration of six months. On evaluation, she was diagnosed to be a case of type III Klippel Feil syndrome (KFS) with crossed fused renal ectopia (left to right) and pelviureteric junction obstruction (PUJO) of the right moiety. The patient underwent successful pyeloplasty of the right moeity. To the best of our knowledge, this is the first reported case in the literature with a combination of KFS, crossed fused renal ectopia, and PUJO.","Medical journal, Armed Forces India",eng,2021,4.0
Crossed unfused renal ectopia with pelviureteric junction obstruction associated with nephrolithiasis: a rare troublesome triad managed by robotic surgery.,We report a rare case of non-fused renal ectopia with pelviureteric junction obstruction and multiple pelvic and renal calculi thereby discussing vascular anatomy of the non-fused ectopic kidney along with robot assisted surgical management of this rare clinical entity which amounts for good preoperative workup for best surgical and clinical outcome.,BMJ case reports,eng,2021,4.0
Minimally Invasive Approaches for Stone Clearance in Crossed Fused Renal Ectopia.,"Crossed fused renal ectopia (CFRE) is a rare fusion anomaly of the kidneys, with a predisposition to calculus disease. Management of renal calculi in CFRE is not standardized because of paucity of literature. We managed a 32-year-old man with left to right CFRE with multiple stones in both the kidneys by percutaneous nephrolithotomy for the right moiety and laparoscopic pyelolithotomy for the crossed moiety. Based on the stone burden and anatomy, we decided to go for a staged approach, to provide maximum clearance rate with least risk. We share our experience in this case, with regard to the use of two different but minimally invasive modalities for effective management of the patient. We also emphasize on the utilization of a staged approach whenever required for patient safety. We also reviewed the literature regarding the management of kidney stones in this rare anomaly.",Journal of endourology case reports,eng,2020,
Open pyelolithotomy in an ectopic kidney: A case report.,"Renal ectopia with stone is a rare case with no specific reported incidence rate. The treatment of kidney stone in ectopic kidneys poses a challenge to urologists. A 48-year-old male presenting with colicky pain on the right flank since one year ago. CT urography revealed an right-crossed renal ectopia and hyperdense lesions (25 × 20 mm and 10 × 10 mm) in the ureteropelvic junction of the right kidney. Under general anesthesia, we performed open pyelolithotomy for the patient and removed two stones completely. Open surgery could be the choice for patients with complex stone burden and associated renal anomalies such as ectopic kidney.",Urology case reports,eng,2021,3.0
De Novo Ring Chromosome 15: Molecular Cytogenetic and Clinical Characterization of First Case from Saudi Arabia.,"Ring chromosome 15 is a rare chromosomal disorder, which usually occurs during early embryonic development via spontaneous errors and has variable presentation. To date, 89 cases of this condition have been reported. This case report describes a 5-year-old Saudi boy who was diagnosed as having de novo 46,XY,r(15). The patient presented with short stature, speech delay, café au lait spots, and facial dysmorphic features, together with new findings of left crossed fused renal ectopia and 11 ribs. This presentation was compared with the findings of cases reported previously.",Journal of pediatric genetics,eng,2022,12.0
Against the Odds: Management of Ureteral Calculus in Patient With Crossed Fused Renal Ectopia.,"Crossed fused renal ectopia (CFRE) is a rare congenital abnormality of the urinary tract where the kidneys are fused on one side, while the ureter of the ectopic kidney crosses the midline with the normal entrance in the bladder on the contralateral side. Congenital anomalies are associated with a stone formation whose management represents a real challenge. To our knowledge, we report the second case of CFRE associated with ureteral stone, which has been successfully resolved with Extracorporeal Shockwave Lithotripsy (ESWL) and the first of its kind where a sufficient degree of stone disintegration has been achieved after a single session with a complete stone clearance during the follow-up. Radiological examination showed an inferior type of CFRE with stone in the proximal part of the ureter of the upper kidney. ESWL is an acceptable and effective treatment option in CFRE patients due to the minimally invasive approach, potentially high stone-free rate, and rare complications.",Cureus,eng,2020,10.0
Coexistence of a rare type of ectopic kidney with atypical renal vasculature.,"Knowledge of anatomical anomalies is significant for all specialists in clinical practice and may prevent serious complications following medical procedures. This report presents the rare crossed fused renal ectopia (CFRE) with atypical renal vasculature in cadaver of a 68-year-old man. The ectopic kidney was located on right side with four renal veins, three renal arteries, two ureters, where one of them is double. The embryological background, as well as the potential clinical significance of this morphological variation, is discussed. An interventional radiological and surgical procedure should be appropriately implemented to treat anomalies of vessels and CFRE.",Anatomical science international,eng,2021,3.0
Embolization of an angiomyolipoma in a crossed fused renal ectopia.,"Crossed fused ectopic kidney represents a rare congenital malformation, and development of an angiomyolipoma (AML) in a crossed fused ectopia is even rarer. There is no clear association between both entities. However, approximately half of crossed fused renal ectopic patients may develop infections, obstruction and/or nephrolithiasis. Nevertheless, they are very rarely associated with carcinoma. To our knowledge, this is the first case of AML in crossed fused renal ectopia. In this report, we present a patient with a left renal angiomyolipoma in a crossed fused renal ectopia managed by embolization. In addition, a literature review for relevant cases will be provided.",Urology case reports,eng,2020,11.0
Mayer-Rokitansky-Küster-Hauser syndrome with rare findings of inferior crossed-fused renal ectopia and Gartner's duct cyst: a video case report.,To describe the treatments of a patient using the laparoscopic Davydov's method for Mayer-Rokitansky-Küster-Hauser (MRKH) syndrome and ureteral reimplantation for hydronephrosis and hydroureter.,Fertility and sterility,eng,2021,2.0
Crossed renal ectopia with fusion. An incidental diagnosis.,A 21-year-old woman with an uneventful past medical history presented to the emergency department with acute right inferior abdominal pain...,Archivos espanoles de urologia,eng,2020,9.0
"Crossed renal ectopia with fusion in a pelvic inlet area, atypical portal vein and coccygeal deformation in a young female cat.","The case report describes a rare congenital anomaly, crossed fused renal ectopia (CFRE), with coexistence of two other abnormalities - atypical portal vein and coccygeal vertebrae malformation in a domestic cat. The concomitance of those 3 congenital defects has not been described previously.",BMC veterinary research,eng,2020,8.0
Incidentally detected pancake kidney: a case report.,"Congenital anomalies of the urinary system are very common and have extremely varied presentation. Among them, the most rarely found structural anomaly is the pancake kidney. When both kidneys are fused along their medial surfaces to form a round-shaped single renal mass, it is termed as pancake kidney. In this case report, a pancake kidney was incidentally detected in a girl. The majority of individuals who have pancake kidney are usually asymptomatic but surgeons should be aware of coexisting malformation of other organs and its potential risk of developing malignancy.",Journal of medical case reports,eng,2020,8.0
Percutaneous Nephrolithotomy in a Patient with Cross-Fused Renal Ectopia.,"<b><i>Background:</i></b> Cross-fused renal ectopia (CFRE) is a rare congenital anomaly in which an ectopic kidney crosses the midline and merges with the orthotopic kidney on the other side. Patients with CFRE could present with urolithiasis. The abnormal anatomy and the lack of consensus to treat urolithiasis in these cases present challenges to treatment. In this study, we present a case of renal stone in a CFRE managed through percutaneous nephrolithotomy (PCNL). <b><i>Case Presentation:</i></b> We present a case of a 59-year-old man with right flank pain. Radiologic studies showed a 2 cm renal pelvis stone in a CFRE. The patient was effectively managed with PCNL. <b><i>Conclusion:</i></b> With proper radiologic study and thorough understanding of the aberrant anatomy, PCNL represents a safe and effective treatment for patients with renal stones in CFRE with high stone-free rate and low mortality.",Journal of endourology case reports,eng,2020,
Rare heterozygous GDF6 variants in patients with renal anomalies.,"Although over 50 genes are known to cause renal malformation if mutated, the underlying genetic basis, most easily identified in syndromic cases, remains unsolved in most patients. In search of novel causative genes, whole-exome sequencing in a patient with renal, i.e., crossed fused renal ectopia, and extrarenal, i.e., skeletal, eye, and ear, malformations yielded a rare heterozygous variant in the GDF6 gene encoding growth differentiation factor 6, a member of the BMP family of ligands. Previously, GDF6 variants were reported to cause pleiotropic defects including skeletal, e.g., vertebral, carpal, tarsal fusions, and ocular, e.g., microphthalmia and coloboma, phenotypes. To assess the role of GDF6 in the pathogenesis of renal malformation, we performed targeted sequencing in 193 further patients identifying rare GDF6 variants in two cases with kidney hypodysplasia and extrarenal manifestations. During development, gdf6 was expressed in the pronephric tubule of Xenopus laevis, and Gdf6 expression was observed in the ureteric tree of the murine kidney by RNA in situ hybridization. CRISPR/Cas9-derived knockout of Gdf6 attenuated migration of murine IMCD3 cells, an effect rescued by expression of wild-type but not mutant GDF6, indicating affected variant function regarding a fundamental developmental process. Knockdown of gdf6 in Xenopus laevis resulted in impaired pronephros development. Altogether, we identified rare heterozygous GDF6 variants in 1.6% of all renal anomaly patients and 5.4% of renal anomaly patients additionally manifesting skeletal, ocular, or auricular abnormalities, adding renal hypodysplasia and fusion to the phenotype spectrum of GDF6 variant carriers and suggesting an involvement of GDF6 in nephrogenesis.",European journal of human genetics : EJHG,eng,2020,12.0
Lessons for the clinical nephrologist: a rare case of unfused renal ectopia.,"Right crossed inferior unfused renal ectopia is a rare developmental anomaly in which both kidneys are located on the left side of the body. It's the result of a halt in migration of kidneys to their normal location during the embryonic period and in ureteral bud faulty that migrates to the opposite side and induces the metanephric blastema on the wrong side. In this article, we aim to review embryology and complete description of renal ectopia anatomy and describe a rare case of right crossed unfused inferior renal ectopia with a left lower kidney artery originated directly from an abdominal aortic aneurism (AAA). The treatment consisted in AAA's exclusion with a custom-made endograft device shaped on purpose with a dedicated branch allowing perfusion of the ectopic lower left kidney.",Journal of nephrology,eng,2021,2.0
Nephroureterectomy of Right-to-Left Crossed Fused Renal Ectopia with Urothelial Carcinoma.,"Urothelial carcinoma in a crossed fused renal ectopia (CFRE) is an exceedingly rare clinical finding. We describe the surgical management used to treat upper tract urothelial carcinoma in a 64-year-old man with a right-to-left CFRE. Nephroureterectomy with bladder cuff excision was the treatment of choice. The fused kidney was carefully dissected until an area of demarcation emerged between the vasculature supplying the left and right moieties. Pressure was applied to the isthmus separating the two moieties, and a sharp incision was made to release the left moiety. The operation was completed with limited blood loss. Pathology revealed a high-grade T3 papillary urothelial carcinoma with negative margins. To our knowledge, the case is the first to report urothelial carcinoma in a right-to-left CFRE.",Cureus,eng,2020,6.0
Grade IV Renal Laceration in a 13-Year-Old Boy With Cross-fused Renal Ectopia.,"A 13-year-old boy presented with gross hematuria following a skateboarding accident and was found to have cross-fused renal ectopia of the left kidney with a grade IV right renal laceration and urinary extravasation. Despite a double-J ureteral stent, urinoma drain, and indwelling bladder catheter, his urinoma drain maintained high output. He underwent a ureteral stent exchange and upsizing. A percutaneous nephrostomy tube was subsequently placed for maximal urinary diversion, which ultimately led to the resolution in his urinary leak. This case highlights our endourologic approach to manage a severe urinary leak despite conservative measures in a pediatric patient with a renal anomaly.",Urology,eng,2020,11.0
Crossed Renal Ectopia with a Fused Supernumerary Kidney.,"Crossed fused renal ectopia and the presence of a supernumerary kidney are both rare congenital variants that are often asymptomatic but may be associated with other developmental anomalies. Here we present a case of a 20-year-old male with a known diagnosis of crossed fused renal ectopia as well as a history of imperforate anus and tethered spinal cord treated in infancy. He presented to the emergency room with symptoms of flank pain, and a noncontrast computed tomography (CT) scan revealed a 4-mm stone in the distal left ureter. CT scan also revealed that the patient's right kidney was not crossed and fused to the left kidney as previously believed, but rather it was crossed and fused to a supernumerary kidney abutting the inferomedial aspect of an orthotopic left kidney. This is a unique example of two rare coexisting renal anomalies not previously detected on a nuclear medicine renal scan and serial renal ultrasounds obtained earlier in the the patient's life.",Cureus,eng,2020,4.0
Case Report of a Pelvic Crossed Fused Renal Ectopic Kidney.,"Herein we present a case of a horseshoe kidney with crossed fused renal ectopia. Both of these pathologies are congenital anomalies; however, to date, there are few cases that present with both. In this case, discovered during routine dissection, the fused kidney was mostly left-sided and very low in the pelvis. No renal artery arose from the right wall of the abdominal aorta, and the right renal vein drained into the lower part of the inferior vena cava (IVC) where the right and left common iliac veins joined. It is essential for clinicians and surgeons to understand these types of congenital anomalies, as they could impact patient care.",The Kurume medical journal,eng,2020,7.0
Fused Supernumerary Kidney Presenting as Total Urinary Incontinence.,"Supernumerary kidney, a rare congenital anomaly, defined as an additional kidney with a separate capsule, collecting system and blood supply draining into the native ureter or a separate ureter. Small fused supernumerary units may be difficult to differentiate from renal moiety with complete separate ectopic ureter without complete evaluation. We report a case of a supernumerary kidney fused with the capsule of ipsilateral kidney with a separate complete ureter draining into the introitus of a young female thereby presenting as total incontinence of urine.",Urology,eng,2020,8.0
Endovascular repair of an abdominal aortic aneurysm associated with crossed fused renal ectopia.,"Chimney/snorkel endovascular aneurysm repair (Ch-EVAR) enables the minimally invasive treatment of abdominal aortic aneurysm in anatomically challenging and high-risk surgical cases. Here, we present the case of a 77-year-old man with an abdominal aortic aneurysm associated with crossed fused renal ectopia and an ectopic renal artery arising directly from the aneurysm sac. After successful implementation of Ch-EVAR, computed tomography angiography at 18 months revealed no endoleaks, patency of the parallel graft, and normal renal vascularization and function. This report underscores the feasibility of Ch-EVAR in a case with high anatomic complexity.",Journal of vascular surgery cases and innovative techniques,eng,2020,3.0
Pelvic ectopic solitary kidney: treatment with the application of three-dimensional computed tomography and laparoscopic pyeloplasty-a case report.,"Renal ectopia occurs in 1:3,000-1:7,000 children. Simple ectopia refers to the abnormal kidney location on the same side; in crossed ectopia the ureter crosses the midline of the body. Pelvic ectopic solitary kidney with hydronephrosis due to ureteropelvic junction obstruction (UPJO) is even rarer in clinical practice. We report a case of a pelvic ectopic solitary kidney with hydronephrosis due to UPJO in an 18-year-old girl. Three-dimensional computed tomography (CT) scan showed the Single Ectopic Kidney with irregular shape lying in the pelvis and its cortex is very thin because of the grossly dilated renal pelvis and ureter. The terminal ureteral joined the right posterior wall of bladder. The renal artery originated from the bilateral common iliac artery, and laparoscopic pyeloplasty was performed. 18 months after the surgery, hydronephrosis was improved morphologically, and the estimated glomerular filtration rate was stable.",Translational andrology and urology,eng,2019,12.0
Wilms tumor in a left pelvic kidney: A case report.,"Wilms tumor(nephroblastoma) is the most common renal tumor in childhood.The most frequent anomalies and syndromes associated with this tumor involve the genitourinary tract. The occurrence of Wilms tumor with renal ectopia is rare.When present,Wilms tumor is usually found in association with other forms of renal ectopia like horseshoe kidneys or crossed fused renal ectopia. However, reports of the occurrence of Wilms tumor in unilateral pelvic renal ectopia is uncommon. We report a case of Wilms tumor in a pelvic left kidney.",International journal of surgery case reports,eng,2020,
Primary renal cell carcinoma in crossed fused ectopia: Nephron sparing surgery for a rare of rarity entity.,"Primary renal cell carcinoma (RCC) in crossed fused renal ectopia represents a rare of rarity entity. Only eight cases were reported in the literature, including seven RCC and one transitional cell carcinoma. This report presents a case of a 39-years old female presented with incidentally discovered renal mass in a crossed fused ectopia. Careful preoperative planning and meticulous delineation of renal vasculature were performed to avoid unpredicted anatomy. Nephron-sparing surgery with preservation of the normal-functioning moiety was performed with uneventful postoperative course. These clinical, morphological and immune-histochemical features will be presented with a review of the current literature.",Urology case reports,eng,2020,1.0
Crossed-fused renal ectopia with renal calculi: Two case reports and a review of the literature.,"Crossed renal ectopia (CRE) is a rare congenital anomaly that is frequently associated with gastrointestinal, cardiovascular, genital and bone malformations. To the best of our knowledge, only 35 cases of crossed renal ectopia involving calculi and 30 cases of CRE associated with renal carcinoma have been reported to date.",Medicine,eng,2019,11.0
Lump type crossed fused renal ectopia with bilateral vesicoureteral reflux: A case report.,"Crossed fused renal ectopia is a rare congenital anomaly of the ascent of the kidney. This anomaly may be observed as a solitary kidney during initial evaluation. A solitary kidney must be evaluated for associated anomalies such as duplication, horseshoe kidney, or crossed renal ectopia.",World journal of clinical cases,eng,2019,3.0
Crossed Fused Renal Ectopia with Single Ureter and Single Renal Vein: A Rare Case.,"Crossed fused renal ectopia with a single ureter and single renal vein is a rare congenital anomaly in which both the fused kidneys lie on one side of the body. We present an unusual case of crossed fused renal ectopia with a single ureter, single renal vein, and a calculus in a 22-year-old man who presented with lower abdominal pain, burning micturition, and a right-side abdominal lump present for three months. On abdominal ultrasound and non-contrast computed tomography (CT), the left kidney was not visualized in the left renal fossa. However, we noted it on the right side, fused to the lower pole of the right kidney with a calculus within the pelvis leading to mild hydronephrosis. After intravenous administration of non-ionic contrast medium, we saw a single ureter draining both the moieties into the urinary bladder on the right side. A three-dimensional volume rendering technique revealed a single renal vein draining the renal parenchyma into the inferior vena cava. Cross fused renal ectopia is an uncommon congenital anomaly which remains asymptomatic throughout life and undetected in the absence of renal pathologies. Multi-detector computed tomography (MDCT) is an excellent tool for denoting anatomical details of this anomaly; the information provided by MDCT is crucial for surgeons, nephrologists, and radiologists alike in facilitating proper management of the condition.",Cureus,eng,2019,1.0
A Case of Supernumerary Kidney.,"A supernumerary kidney is extremely rare, with less than 100 cases currently reported in the literature. When this variant is present, the additional renal parenchyma demonstrates its own collecting system, vascular supply, and distinct encapsulated parenchyma. Herein, we discuss the case of a supernumerary kidney in a 20-year-old male.",Cureus,eng,2018,12.0
Ureteroscopic Stone Extraction in Cross-Fused Renal Ectopia.,"<b><i>Background:</i></b> Urinary stone disease in cross-fused renal ectopia is rare and the aberrant anatomy poses challenges to treatment options. The available literature on treatment modalities remains limited. In this study, we present a case of ureteral stone in a cross-fused renal ectopia managed through retrograde approach. <b><i>Case Presentation:</i></b> We present a case of a 69-year-old woman with an obstructing ureteral stone in a cross-fused renal ectopia managed with ureteroscopic stone extraction. With the use of a ureteral access sheath, holmium laser, and Nitonol basket, the stone was fragmented and removed through retrograde access. The stone composition was 100% calcium oxalate monohydrate and her 24-hour urine collection was only significant for low volume. <b><i>Conclusion:</i></b> With special modifications and attention to the individual patient's anatomy, retrograde approach with the use of an access sheath is safe and effective for treatment of ureteral stones in patients with cross-fused renal ectopia.",Journal of endourology case reports,eng,2018,
Dual-Tracer PET/CT Differentiates 2 Types of Primary Cancers and Metastases in a Patient With Crossed Fused Renal Ectopia.,"A patient was found incidentally on dual-tracer (C-acetate [ACT] and F-FDG [FDG]) PET/CT for having crossed fused renal ectopia and 2 types of malignant tumors, colonic carcinoma and renal cell carcinoma (RCC), each having its own characteristic tracer avidity. Multiple liver metastases were also mutually exclusive, with a purely ACT-avid group of metastatic lesions from RCC and another FDG-avid group from colonic carcinoma. Bone and lung metastases, however, could not be readily distinguishable in terms of primary origins. Crossed fused renal ectopia is a rare anomaly, even rarer to have RCC coexisting with a second primary malignancy.",Clinical nuclear medicine,eng,2019,2.0
"Pancake kidney, a rare and often misdiagnosed malformation: a case report and radiological differential diagnosis.","Renal ectopia and fusion anomalies are Congenital Anomalies of the Kidney and the Urinary Tract (CAKUT) that are usually incidentally detected and asymptomatic. Patients affected present a higher risk of complications like recurrent urinary tract infections or obstruction. Pancake kidney (PK) is one of the rarest types of renal anomaly with complete fusion of the superior, mild and inferior poles of both kidneys in the pelvic cavity. Each kidney has its own excretory system with two ureters that do not cross the midline. In the asymptomatic cases, a conservative approach should be performed. Surgical management may be needed when urological problems occur. PK is often associated with congenital anomalies of other organs. Ultrasound is the first line radiological examination for the diagnosis and the follow-up of kidney malformations. The main sonographic findings suggesting PK diagnosis are a large and lobulated renal mass consisting of two fused lateral lobes without an intervening septum located in the pelvic cavity. Each lobe usually has a separate pelvicalyceal system, the renal pelvis is anteriorly placed and the ureters are usually short and enter the bladder normally without crosses the midline. Ultrasonography gives useful information on the morphology and volume of the organ, and on its vascularization through the use of the Color- and Power-Doppler. Computer Tomography and Magnetic Resonance Urography are second level techniques used to confirm the diagnosis and to evaluate the presence of other abnormalities. The knowledge of the imaging findings and the anatomy of congenital renal malformations is important to avoid diagnostic pitfalls and misinterpretations. We report the case of a 14-years old female with PK who was misdiagnosed with a horseshoe kidney (HSK) during an abdominal ultrasound.",Journal of ultrasound,eng,2019,6.0
